tweet_ID	_golden	is_the_tweet_text_in_the_english_language	the_text_is_about_the_drugs_of_interest	genre_in_which_the_drug_is_mentioned_	sentiment_of_the_author_about_the_drug	theme_on_the_drug_ussage
297480231076388864	true	Yes	No	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
302067025457602560	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
200794032853622784	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
280741783036624897	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
297444067778891776	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
275785717924364288	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Negative about the drug	Pleasure (Drug usage as a pleasurable activity)
297434089521303553	true	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
236285948105736194	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Disgust (Drug users or usage as repulsive)
297425268904185856	true	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
235960352641253378	true	Yes	Yes	Other's Experience (The writer is reporting about some else's experience with the drug)	Neither positive nor negative (neutral)	Disgust (Drug users or usage as repulsive)
297372445835411456	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
230880744329842691	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
297351113634635776	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
297304670098042881	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
297248193782108160	true	Yes	No	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
297242883784847360	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
297235942241099776	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
297186025829183489	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
297183278551691265	true	Yes	Yes	Info/resource (The writer is providing useful information like advices, tips or tricks)	Negative about the drug	Disgust (Drug users or usage as repulsive)
297178060816539648	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
297175267422658560	true	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
297167143059988480	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
297114668118466560	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
297097039462944768	true	Yes	No		Neither positive nor negative (neutral)	
297086574687055872	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
297082460062224386	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Negative about the drug	Craving (Possibly related to stress relief)
297081486996299777	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Negative about the drug	
